year,award,outcome,title,author,published
1993,Best Short Story,Finalist,“The Good Pup”,Bridget Mckenna,The Magazine of Fantasy and Science Fiction
1993,Best Short Story,Finalist,“The Beggar in the Living Room”,Walter Jon Williams,Asimov’s Magazine
1992,Best Novel,Finalist,A Million Open Doors,John Barnes,Tor
1992,Best Novel,Finalist,Sarah Canary,Karen Joy Fowler,Henry Holt
1992,Best Novel,Finalist,China Mountain Zhang,Maureen F. Mchugh,Tor
1992,Best Novel,Finalist,A Fire Upon the Deep,Vernor Vinge,Tor
1992,Best Novel,Winner,Doomsday Book,Connie Willis,Bantam Spectra
1992,Best Novel,Finalist,Briar Rose,Jane Yolen,Tor
1992,Best Novella,Finalist,“Silver or Gold”,Emma Bull,no publishing information available
1992,Best Novella,Winner,“City of Truth”,James Morrow,St. Martin’s
1992,Best Novella,Finalist,“Protection”,Maureen F. Mchugh,Asimov’s Magazine
1992,Best Novella,Finalist,“Contact”,Jerry Oltion,Lee Goodloe
1992,Best Novella,Finalist,“Barnacle Bill the Spacer”,Lucius Shepard,Asimov’s Magazine
1992,Best Novella,Finalist,“Griffin’s Egg”,Michael Swanwick,no publishing information available
1992,Best Novelette,Finalist,“Matter’s End”,Gregory Benford,no publishing information available
1992,Best Novelette,Finalist,“The July Ward”,S. N. Dyer,Asimov’s Magazine
1992,Best Novelette,Finalist,“The Honeycrafters”,Carolyn Gilman,no publishing information available
1992,Best Novelette,Winner,“Danny Goes to Mars”,Pamela Sargent,no publishing information available
1992,Best Novelette,Finalist,“Suppose They Gave a Peace”,Susan Shwartz,no publishing information available
1992,Best Short Story,Finalist,“Life Regarded as a Jigsaw Puzzle of Highly Lustrous Cats”,Michael Bishop,Omni
1992,Best Short Story,Finalist,“Lennon Spex”,Paul Di Filippo,Amazing Stories
1992,Best Short Story,Finalist,“The Mountain to Mohammed”,Nancy Kress,Asimov’s Magazine
1992,Best Short Story,Finalist,“Vinland the Dream”,Kim Stanley Robinson,Asimov’s Magazine
